Column,Coverage
CRC.SW.U1483.T,27064271
CRC.SW.U1486.T,28367124
CRC.SW.U2747.N,13233624
CRC.SW.U2747.T,34948550
CRC.SW.U2753.N,24870408
CRC.SW.U2753.T,33108204
CRC.SW.U2754.N,24194396
CRC.SW.U2754.T,30361047
CRC.SW.U2761.N,22210125
CRC.SW.U2761.T,32046839
CRC.SW.U2764.N,25151186
CRC.SW.U2764.T,29717417
CRC.SW.U2771.N,26088477
CRC.SW.U2771.T,28713295
CRC.SW.U2774.T,34380315
CRC.SW.U2777.N,26731299
CRC.SW.U2777.T,15070804
CRC.SW.U2779.N,25625857
CRC.SW.U2779.T,34733052
CRC.SW.U2780.N,20232532
CRC.SW.U2780.T,27165129
CRC.SW.U2782.N,21878629
CRC.SW.U2782.T,40544833
CRC.SW.U2792.T,28486335
CRC.SW.U2798.N,23246006
CRC.SW.U2798.T,32877125
CRC.SW.U2803.T,28673599
CRC.SW.U2819.N,23366673
CRC.SW.U2819.T,31625855
CRC.SW.U2834.T,33452173
CRC.SW.U2837.N,25529896
CRC.SW.U2837.T,35032843
CRC.SW.U2842.N,11991458
CRC.SW.U2842.T,17556736
CRC.SW.U2843.N,27881185
CRC.SW.U2843.T,30218585
CRC.SW.U2848.T,30031710
CRC.SW.U2856.N,15496584
CRC.SW.U2856.T,22710126
CRC.SW.U2861.T,32186694
CRC.SW.U2882.N,22170378
CRC.SW.U2882.T,32307076
CRC.SW.U2889.N,21616544
CRC.SW.U2889.T,26393421
CRC.SW.U2891.T,25839574
CRC.SW.U2896.N,20547311
CRC.SW.U2896.T,26009611
CRC.SW.U2902.N,21698173
CRC.SW.U2902.T,21952653
CRC.SW.U2917.N,22868900
CRC.SW.U2917.T,29471623
CRC.SW.U2927.N,23099956
CRC.SW.U2927.T,35148921
CRC.SW.U2928.T,33612396
CRC.SW.U2935.N,16504810
CRC.SW.U2935.T,33084459
CRC.SW.U2942.T,33593183
CRC.SW.U2943.N,25820397
CRC.SW.U2943.T,35516896
CRC.SW.U2947.T,28434128
CRC.SW.U2948.N,27493545
CRC.SW.U2948.T,28772400
CRC.SW.U2953.T,34772467
CRC.SW.U2955.T,32972458
CRC.SW.U2956.T,34710838
CRC.SW.U2958.T,33593364
CRC.SW.U2959.N,24197431
CRC.SW.U2959.T,38964322
CRC.SW.U2960.T,38591213
CRC.SW.U2964.N,22418426
CRC.SW.U2964.T,35132114
CRC.SW.U2966.N,20535138
CRC.SW.U2966.T,27319094
CRC.SW.U2971.N,22557211
CRC.SW.U2971.T,33786364
CRC.SW.U2972.T,35674482
CRC.SW.U2975.N,24000988
CRC.SW.U2975.T,40009568
CRC.SW.U2979.N,22859899
CRC.SW.U2979.T,26633562
CRC.SW.U2981.T,25840763
CRC.SW.U2991.T,35735390
CRC.SW.U2994.T,35148149
CRC.SW.U2995.T,35472349
CRC.SW.U2999.N,24276807
CRC.SW.U2999.T,35270251
CRC.SW.U3000.T,35717804
CRC.SW.U3005.T,32183835
CRC.SW.U3008.T,33824188
CRC.SW.U3012.T,32107642
CRC.SW.U3018.N,22296341
CRC.SW.U3018.T,32922756
CRC.SW.U3019.T,41133114
CRC.SW.U3022.N,23773749
CRC.SW.U3022.T,34167668
CRC.SW.U3023.N,22856604
CRC.SW.U3023.T,33923881
CRC.SW.U3024.N,25502810
CRC.SW.U3024.T,30927490
CRC.SW.U3025.N,26405327
CRC.SW.U3025.T,30963681
CRC.SW.U3029.T,34805096
CRC.SW.U3030.N,21248307
CRC.SW.U3030.T,27757745
CRC.SW.U3032.N,23213179
CRC.SW.U3032.T,25626424
CRC.SW.U3033.N,20362882
CRC.SW.U3033.T,47833831
CRC.SW.U3034.N,24374920
CRC.SW.U3034.T,31504807
CRC.SW.U3037.T,30188534
CRC.SW.U3038.N,18703958
CRC.SW.U3038.T,17043751
CRC.SW.U3039.N,23183350
CRC.SW.U3039.T,31112561
CRC.SW.U3042.T,31366456
CRC.SW.U3043.N,28514814
CRC.SW.U3043.T,27252725
CRC.SW.U3047.N,17379524
CRC.SW.U3047.T,38060748
CRC.SW.U3048.N,28505486
CRC.SW.U3048.T,27567316
CRC.SW.U3049.T,34090448
CRC.SW.U3050.N,22174553
CRC.SW.U3050.T,36133516
CRC.SW.U3051.N,24560702
CRC.SW.U3051.T,31952458
CRC.SW.U3054.T,32841758
CRC.SW.U3055.T,36793558
CRC.SW.U3056.T,40249379
CRC.SW.U3059.T,34120421
CRC.SW.U3060.T,35885897
CRC.SW.U3061.T,39636248
CRC.SW.U3062.T,21504555
CRC.SW.U3063.T,35796799
CRC.SW.U3064.T,38306060
CRC.SW.U3065.T,34662306
CRC.SW.U3066.T,38088004
CRC.SW.U3067.T,35434661
CRC.SW.U3068.T,38937501
CRC.SW.U3069.T,36776713
CRC.SW.U3070.T,31255056
CRC.SW.U3071.T,33134318
CRC.SW.U3072.T,38354216
CRC.SW.U3073.T,40132857
CRC.SW.U3074.T,31640729
CRC.SW.U3075.T,34578619
CRC.SW.U3076.T,33953062
CRC.SW.U3077.T,34150671
CRC.SW.U3078.T,37046337
CRC.SW.U3079.T,37394656
CRC.SW.U3080.T,39631855
